DateTime,State,Fuel Type,Supply
02/11/2024 00:00,NSW,Liquid Fuel,94.308
02/11/2024 00:00,NSW,Solar,153150.236
02/11/2024 00:00,NSW,Wind,148767.033
02/11/2024 00:00,QLD,Battery,5220.588
02/11/2024 00:00,QLD,Biomass,8257.667
02/11/2024 00:00,QLD,Black coal,759474.059
02/11/2024 00:00,QLD,Gas,103231.493
02/11/2024 00:00,QLD,Hydro,28034.577
02/11/2024 00:00,QLD,Liquid Fuel,3097.833
02/11/2024 00:00,QLD,Solar,154416.271
02/11/2024 00:00,QLD,Wind,60751.944
02/11/2024 00:00,SA,Battery,3289.955
02/11/2024 00:00,SA,Gas,40755.234
02/11/2024 00:00,SA,Liquid Fuel,249.93
02/11/2024 00:00,SA,Solar,16561.943
02/11/2024 00:00,SA,Wind,108480.583
02/11/2024 00:00,TAS,Gas,33.939
02/11/2024 00:00,TAS,Hydro,109655.252
02/11/2024 00:00,TAS,Wind,46463.326
02/11/2024 00:00,VIC,Battery,3906.292
02/11/2024 00:00,VIC,Brown coal,492955.731
02/11/2024 00:00,VIC,Gas,3417.931
02/11/2024 00:00,VIC,Hydro,54175.54
02/11/2024 00:00,VIC,Solar,40400.3
02/11/2024 00:00,VIC,Wind,199990.547
09/11/2024 00:00,NSW,Battery,3171.412
09/11/2024 00:00,NSW,Biomass,3404.515
09/11/2024 00:00,NSW,Black coal,776779.618
09/11/2024 00:00,NSW,Gas,24579.849
09/11/2024 00:00,NSW,Hydro,94747.955
09/11/2024 00:00,NSW,Liquid Fuel,5.05
09/11/2024 00:00,NSW,Solar,172956.599
09/11/2024 00:00,NSW,Wind,114618.489
09/11/2024 00:00,QLD,Battery,4850.734
09/11/2024 00:00,QLD,Biomass,8993.93
09/11/2024 00:00,QLD,Black coal,770166.414
09/11/2024 00:00,QLD,Gas,107887.203
09/11/2024 00:00,QLD,Hydro,26975.785
09/11/2024 00:00,QLD,Liquid Fuel,929.595
09/11/2024 00:00,QLD,Solar,144803.889
09/11/2024 00:00,QLD,Wind,56836.806
09/11/2024 00:00,SA,Battery,3892.827
09/11/2024 00:00,SA,Gas,44335.062
09/11/2024 00:00,SA,Liquid Fuel,307.248
09/11/2024 00:00,SA,Solar,19410.089
09/11/2024 00:00,SA,Wind,102595.322
09/11/2024 00:00,TAS,Gas,1706.533
09/11/2024 00:00,TAS,Hydro,123267.328
09/11/2024 00:00,TAS,Wind,25971.053
09/11/2024 00:00,VIC,Battery,3851.115
09/11/2024 00:00,VIC,Brown coal,507491.185
09/11/2024 00:00,VIC,Gas,10077.968
09/11/2024 00:00,VIC,Hydro,71897.888
09/11/2024 00:00,VIC,Solar,38946.792
09/11/2024 00:00,VIC,Wind,154134.611
16/11/2024 00:00,NSW,Battery,2798.878
16/11/2024 00:00,NSW,Biomass,2765.938
16/11/2024 00:00,NSW,Black coal,711638.828
16/11/2024 00:00,NSW,Gas,21197.711
16/11/2024 00:00,NSW,Hydro,81679.379
16/11/2024 00:00,NSW,Liquid Fuel,22.275
16/11/2024 00:00,NSW,Solar,193221.334
16/11/2024 00:00,NSW,Wind,126375.415
16/11/2024 00:00,QLD,Battery,5162.492
16/11/2024 00:00,QLD,Biomass,7909.25
16/11/2024 00:00,QLD,Black coal,715911.817
16/11/2024 00:00,QLD,Gas,115511.158
16/11/2024 00:00,QLD,Hydro,24148.119
16/11/2024 00:00,QLD,Liquid Fuel,640.419
16/11/2024 00:00,QLD,Solar,110322.633
16/11/2024 00:00,QLD,Wind,76868.889
16/11/2024 00:00,SA,Battery,3805.434
16/11/2024 00:00,SA,Gas,49655.253
16/11/2024 00:00,SA,Liquid Fuel,311.919
16/11/2024 00:00,SA,Solar,19144.572
16/11/2024 00:00,SA,Wind,126652.026
16/11/2024 00:00,TAS,Gas,157.211
16/11/2024 00:00,TAS,Hydro,105725.432
16/11/2024 00:00,TAS,Wind,33302.871
16/11/2024 00:00,VIC,Battery,4315.632
16/11/2024 00:00,VIC,Brown coal,543593.982
16/11/2024 00:00,VIC,Gas,19596.984
16/11/2024 00:00,VIC,Hydro,65253.359
16/11/2024 00:00,VIC,Solar,45030.094
16/11/2024 00:00,VIC,Wind,203530.735
23/11/2024 00:00,NSW,Battery,2819.952
23/11/2024 00:00,NSW,Biomass,4030.891
23/11/2024 00:00,NSW,Black coal,806159.26
23/11/2024 00:00,NSW,Gas,41613.337
23/11/2024 00:00,NSW,Hydro,101354.161
23/11/2024 00:00,NSW,Liquid Fuel,32.892
23/11/2024 00:00,NSW,Solar,150451.994
23/11/2024 00:00,NSW,Wind,131227.102
23/11/2024 00:00,QLD,Battery,5102.212
23/11/2024 00:00,QLD,Biomass,7832.167
23/11/2024 00:00,QLD,Black coal,816382.967
23/11/2024 00:00,QLD,Gas,131329.608
23/11/2024 00:00,QLD,Hydro,19286.658
23/11/2024 00:00,QLD,Liquid Fuel,2798.805
23/11/2024 00:00,QLD,Solar,141331.603
23/11/2024 00:00,QLD,Wind,59406.77
23/11/2024 00:00,SA,Battery,3617.546
23/11/2024 00:00,SA,Gas,90791.455
23/11/2024 00:00,SA,Liquid Fuel,240.981
23/11/2024 00:00,SA,Solar,22156.508
23/11/2024 00:00,SA,Wind,99226.415
23/11/2024 00:00,TAS,Gas,271.381
23/11/2024 00:00,TAS,Hydro,159589.579
23/11/2024 00:00,TAS,Wind,25396.954
23/11/2024 00:00,VIC,Battery,3091.056
23/11/2024 00:00,VIC,Brown coal,567730.93
23/11/2024 00:00,VIC,Gas,36462.486
23/11/2024 00:00,VIC,Hydro,74283.937
23/11/2024 00:00,VIC,Solar,33466.961
23/11/2024 00:00,VIC,Wind,132234.866
30/11/2024 00:00,NSW,Battery,2837.153
30/11/2024 00:00,NSW,Biomass,3389.168
30/11/2024 00:00,NSW,Black coal,923892.607
30/11/2024 00:00,NSW,Gas,39836.288
30/11/2024 00:00,NSW,Hydro,52219.12
30/11/2024 00:00,NSW,Liquid Fuel,48.225
30/11/2024 00:00,NSW,Solar,182560.55
30/11/2024 00:00,NSW,Wind,112675.12
30/11/2024 00:00,QLD,Battery,5040.166
30/11/2024 00:00,QLD,Biomass,6757.867
30/11/2024 00:00,QLD,Black coal,861589.003
30/11/2024 00:00,QLD,Gas,125345.342
30/11/2024 00:00,QLD,Hydro,25676.352
30/11/2024 00:00,QLD,Liquid Fuel,1821.832
30/11/2024 00:00,QLD,Solar,142187.221
30/11/2024 00:00,QLD,Wind,41289.157
30/11/2024 00:00,SA,Battery,2987.395
30/11/2024 00:00,SA,Gas,72384.568
30/11/2024 00:00,SA,Liquid Fuel,846.737
30/11/2024 00:00,SA,Solar,23366.937
30/11/2024 00:00,SA,Wind,110905.982
30/11/2024 00:00,TAS,Gas,160.914
30/11/2024 00:00,TAS,Hydro,131497.709
30/11/2024 00:00,TAS,Wind,32996.149
30/11/2024 00:00,VIC,Battery,3730.552
30/11/2024 00:00,VIC,Brown coal,502340.857
30/11/2024 00:00,VIC,Gas,32580.452
30/11/2024 00:00,VIC,Hydro,59426.175
30/11/2024 00:00,VIC,Solar,43932.608
30/11/2024 00:00,VIC,Wind,215396.78
07/12/2024 00:00,NSW,Battery,2384.606
07/12/2024 00:00,NSW,Biomass,3581.907
07/12/2024 00:00,NSW,Black coal,884463.111
07/12/2024 00:00,NSW,Gas,40753.954
07/12/2024 00:00,NSW,Hydro,49178.013
07/12/2024 00:00,NSW,Liquid Fuel,46.025
07/12/2024 00:00,NSW,Solar,220693.143
07/12/2024 00:00,NSW,Wind,79192.367
07/12/2024 00:00,QLD,Battery,4543.628
07/12/2024 00:00,QLD,Biomass,6586.292
07/12/2024 00:00,QLD,Black coal,803425.499
07/12/2024 00:00,QLD,Gas,153282.533
07/12/2024 00:00,QLD,Hydro,27758.237
07/12/2024 00:00,QLD,Liquid Fuel,6810.726
07/12/2024 00:00,QLD,Solar,147488.52
07/12/2024 00:00,QLD,Wind,35641.169
07/12/2024 00:00,SA,Battery,3842.451
07/12/2024 00:00,SA,Gas,62004.503
07/12/2024 00:00,SA,Liquid Fuel,163.865
07/12/2024 00:00,SA,Solar,26962.489
07/12/2024 00:00,SA,Wind,87276.38
07/12/2024 00:00,TAS,Gas,737.821
07/12/2024 00:00,TAS,Hydro,136089.261
07/12/2024 00:00,TAS,Wind,52878.098
07/12/2024 00:00,VIC,Battery,4203.115
07/12/2024 00:00,VIC,Brown coal,487946.703
07/12/2024 00:00,VIC,Gas,13895.152
07/12/2024 00:00,VIC,Hydro,55348.623
07/12/2024 00:00,VIC,Solar,48414.31
07/12/2024 00:00,VIC,Wind,125800.158
14/12/2024 00:00,NSW,Battery,3107.813
14/12/2024 00:00,NSW,Biomass,2410.322
14/12/2024 00:00,NSW,Black coal,834639.446
14/12/2024 00:00,NSW,Gas,30864.208
14/12/2024 00:00,NSW,Hydro,43233.352
14/12/2024 00:00,NSW,Liquid Fuel,1.875
14/12/2024 00:00,NSW,Solar,238501.927
14/12/2024 00:00,NSW,Wind,143163.41
14/12/2024 00:00,QLD,Battery,4916.559
14/12/2024 00:00,QLD,Biomass,5221.033
14/12/2024 00:00,QLD,Black coal,777182.917
14/12/2024 00:00,QLD,Gas,117784.233
14/12/2024 00:00,QLD,Hydro,29527.852
14/12/2024 00:00,QLD,Liquid Fuel,3533.384
14/12/2024 00:00,QLD,Solar,129245.164
14/12/2024 00:00,QLD,Wind,49827.391
14/12/2024 00:00,SA,Battery,3711.895
14/12/2024 00:00,SA,Gas,39516.471
14/12/2024 00:00,SA,Liquid Fuel,321.507
14/12/2024 00:00,SA,Solar,20886.596
14/12/2024 00:00,SA,Wind,145708.586
14/12/2024 00:00,TAS,Gas,1005.141
14/12/2024 00:00,TAS,Hydro,112228.9
14/12/2024 00:00,TAS,Wind,30726.86
14/12/2024 00:00,VIC,Battery,4368.913
14/12/2024 00:00,VIC,Brown coal,540367.326
14/12/2024 00:00,VIC,Gas,17226.675
14/12/2024 00:00,VIC,Hydro,36736.779
14/12/2024 00:00,VIC,Solar,51545.733
14/12/2024 00:00,VIC,Wind,238046.076
21/12/2024 00:00,NSW,Battery,2587.76
21/12/2024 00:00,NSW,Biomass,1835.779
21/12/2024 00:00,NSW,Black coal,695730.598
21/12/2024 00:00,NSW,Gas,7275.948
21/12/2024 00:00,NSW,Hydro,36389.462
21/12/2024 00:00,NSW,Liquid Fuel,0
21/12/2024 00:00,NSW,Solar,197843.333
21/12/2024 00:00,NSW,Wind,152855.386
21/12/2024 00:00,QLD,Battery,4663.607
21/12/2024 00:00,QLD,Biomass,1523.925
21/12/2024 00:00,QLD,Black coal,772015.92
21/12/2024 00:00,QLD,Gas,66805.13
21/12/2024 00:00,QLD,Hydro,35511.054
21/12/2024 00:00,QLD,Liquid Fuel,0
21/12/2024 00:00,QLD,Solar,145036.104
21/12/2024 00:00,QLD,Wind,42627.788
21/12/2024 00:00,SA,Battery,2814.308
21/12/2024 00:00,SA,Gas,18690.494
21/12/2024 00:00,SA,Liquid Fuel,129.405
21/12/2024 00:00,SA,Solar,12064.456
21/12/2024 00:00,SA,Wind,135338.822
21/12/2024 00:00,TAS,Gas,0
21/12/2024 00:00,TAS,Hydro,81947.825
21/12/2024 00:00,TAS,Wind,45418.409
21/12/2024 00:00,VIC,Battery,5766.939
21/12/2024 00:00,VIC,Brown coal,486181.909
21/12/2024 00:00,VIC,Gas,2248.206
21/12/2024 00:00,VIC,Hydro,13985.367
21/12/2024 00:00,VIC,Solar,43981.499
21/12/2024 00:00,VIC,Wind,229939.562
28/12/2024 00:00,NSW,Battery,2342.621
28/12/2024 00:00,NSW,Biomass,4247.739
28/12/2024 00:00,NSW,Black coal,787591.367
28/12/2024 00:00,NSW,Gas,7151.584
28/12/2024 00:00,NSW,Hydro,25020.433
28/12/2024 00:00,NSW,Liquid Fuel,3.367
28/12/2024 00:00,NSW,Solar,223664.128
28/12/2024 00:00,NSW,Wind,123165.963
28/12/2024 00:00,QLD,Battery,4254.902
28/12/2024 00:00,QLD,Biomass,4330.683
28/12/2024 00:00,QLD,Black coal,829300.403
28/12/2024 00:00,QLD,Gas,55336.79
